mall_id,name,region,operator,lat,lon,postal_code,address
0,313@somerset,Central,Unknown,1.301014364040584,103.8383606644851,238895,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895
1,Alexandra Retail Centre,Central,Unknown,1.27414893629255,103.8013994166651,,460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC)
2,Bugis Junction,Central,CapitaMall Trust,1.299112874758746,103.8554111737572,188021,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021
3,Bugis+,Central,CapitaMall Trust,1.299603689902971,103.8542423474883,188067,201 VICTORIA STREET BUGIS+ SINGAPORE 188067
4,Capitol Piazza,Central,Unknown,1.293078847631338,103.8512619821488,178905,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905
5,Cathay Cineleisure Orchard,Central,Cathay Organisation,1.30152101873534,103.8364296550156,239695,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695
6,The Centrepoint,Central,Frasers Centrepoint,1.302303823328855,103.8397581729686,,176 ORCHARD ROAD AMB AQUATIC HUB THE CENTREPOINT
7,City Square Mall,Central,Unknown,1.311421031076843,103.8566240199911,208539,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539
8,CityLink Mall,Central,Unknown,1.292777731289308,103.854173501417,039393,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393
9,Chinatown Point,Central,Unknown,1.284998828474023,103.8446970811421,059413,133 NEW BRIDGE ROAD CHINATOWN POINT SINGAPORE 059413
11,Duo,Central,Unknown,1.299534348916636,103.8584016877393,,7 FRASER STREET DUO GALLERIA
12,Far East Plaza,Central,Unknown,1.307176980711882,103.833792932243,228213,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213
13,Funan,Central,Unknown,1.291347596977954,103.8499897900843,179105,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105
14,Great World,Central,Unknown,1.293422726500028,103.8320221466545,237994,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994
15,HDB Hub,Central,Unknown,1.332054851904816,103.8485076430788,310480,480 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310480
17,ION Orchard,Central,Unknown,1.303979741445055,103.832032328465,238801,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801
18,Jelita Mall,Central,Unknown,1.317545559398872,103.7858505425145,278628,293 HOLLAND ROAD JELITA MALL SINGAPORE 278628
19,Junction 8,Central,Unknown,1.350481253450499,103.848760473211,579837,9 BISHAN PLACE JUNCTION 8 SINGAPORE 579837
20,Liat Towers,Central,Unknown,1.305087227108509,103.8307225811674,238881,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881
21,Lucky Plaza,Central,Unknown,1.304506046466357,103.8339623398165,238863,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863
22,Marina Bay Sands,Central,Unknown,1.283994101392069,103.859450636919,,MARINA BAY SANDS
23,Marina Bay Link Mall,Central,Unknown,1.280238254460868,103.8533696625463,018984,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984
24,Marina Square,Central,Unknown,1.291855332730248,103.8585780890598,039594,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594
25,Millenia Walk,Central,Unknown,1.292605444624933,103.8597249444427,039596,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596
26,Mustafa Centre,Central,Unknown,1.310112131903957,103.8552908739255,207704,145 SYED ALWI ROAD MUSTAFA CENTRE SINGAPORE 207704
27,Ngee Ann City,Central,Ngee Ann Development,1.30224168528687,103.8351819122968,238872,391 ORCHARD ROAD NGEE ANN CITY SINGAPORE 238872
28,Orchard Central,Central,Far East Organization,1.300838908392453,103.8394347338989,238896,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896
29,Orchard Gateway,Central,Oversea-Chinese Banking Corporation,1.300443252795456,103.8394427800415,,277 ORCHARD ROAD ORCHARD GATEWAY
30,Palais Renaissance,Central,City Developments Limited,1.306654845431923,103.8295880451874,238871,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871
31,The Paragon,Central,Unknown,1.303872308799947,103.8358575454689,238859,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859
32,People's Park Centre,Central,Management Corporation Strata Title 0393,1.285770099818055,103.8439801228374,058357,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357
33,People's Park Complex,Central,People's Park Development,1.284133971784198,103.8425199726656,059108,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108
34,Plaza Singapura,Central,DBS Land,1.300747709639166,103.8450475734307,238839,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839
35,Raffles City,Central,Tincel Properties,1.293893578633135,103.8531199046559,,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE
37,Sim Lim Square,Central,Unknown,1.303024260571796,103.8530378140664,188504,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504
38,The South Beach,Central,Unknown,1.294988043920564,103.856276242094,,38 BEACH ROAD THE SOUTH BEACH
39,Square 2,Central,Unknown,1.320705109568455,103.8441607096606,307506,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506
40,Suntec City,Central,Unknown,1.29485990186642,103.860333693777,,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY)
41,Tanjong Pagar Centre,Central,Unknown,1.276583606968434,103.8459363035937,078883,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883
42,Tekka Centre,Central,Unknown,1.306247229149706,103.8499560339021,210662,662 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210662
43,Tiong Bahru Plaza,Central,Unknown,1.286458894728254,103.8270152561934,168732,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732
